ProcedureName,ParameterName,DataType,DefaultExpression
USP_CurrentRequests,MinLaufzeitSekunden,int,NULL
USP_CurrentRequests,MinCpuMs,bigint,NULL
USP_CurrentRequests,MinLogicalReads,bigint,NULL
USP_CurrentRequests,LoginNames,nvarchar(max),NULL
USP_CurrentRequests,LoginNamePattern,nvarchar(4000),NULL
USP_CurrentRequests,HostNames,nvarchar(max),NULL
USP_CurrentRequests,HostNamePattern,nvarchar(4000),NULL
USP_CurrentRequests,ProgramNames,nvarchar(max),NULL
USP_CurrentRequests,ProgramNamePattern,nvarchar(4000),NULL
USP_CurrentRequests,DatabaseNames,nvarchar(max),NULL
USP_CurrentRequests,DatabaseNamePattern,nvarchar(4000),NULL
USP_CurrentRequests,HighImpactConfirmed,bit,0
USP_CurrentRequests,TextPattern,nvarchar(4000),NULL
USP_CurrentRequests,MitSqlText,bit,1
USP_CurrentRequests,GesamtenSqlTextEinbeziehen,bit,0
USP_CurrentRequests,InputBufferEinbeziehen,bit,0
USP_CurrentRequests,ModulInfoEinbeziehen,bit,1
USP_CurrentRequests,MaxSqlTextZeichen,int,4000
USP_CurrentRequests,MaxZeilen,int,500
USP_CurrentRequests,Sortierung,varchar(32),'RELEVANZ'
USP_CurrentRequests,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentRequests,ResultTablesJson,nvarchar(max),NULL
USP_CurrentRequests,JsonErzeugen,bit,0
USP_CurrentRequests,Json,nvarchar(max),NULL OUTPUT
USP_CurrentRequests,PrintMeldungen,bit,1
USP_CurrentRequests,Hilfe,bit,0
USP_CurrentRequests,ParentCurrentStateSnapshotId,uniqueidentifier,NULL
USP_CurrentBlocking,SessionIds,nvarchar(max),NULL
USP_CurrentBlocking,MinWaitMs,bigint,0
USP_CurrentBlocking,SystemSessionsEinbeziehen,bit,0
USP_CurrentBlocking,ToolHintergrundabfragenEinbeziehen,bit,0
USP_CurrentBlocking,MitSqlText,bit,1
USP_CurrentBlocking,MaxSqlTextZeichen,int,3000
USP_CurrentBlocking,BlockingObjektTiefe,varchar(16),'STANDARD'
USP_CurrentBlocking,MaxObjektAufloesungen,int,100
USP_CurrentBlocking,MitLockDetails,bit,0
USP_CurrentBlocking,HighImpactConfirmed,bit,0
USP_CurrentBlocking,MaxZeilen,int,1000
USP_CurrentBlocking,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentBlocking,ResultTablesJson,nvarchar(max),NULL
USP_CurrentBlocking,JsonErzeugen,bit,0
USP_CurrentBlocking,Json,nvarchar(max),NULL OUTPUT
USP_CurrentBlocking,PrintMeldungen,bit,1
USP_CurrentBlocking,Hilfe,bit,0
USP_CurrentBlocking,ParentCurrentStateSnapshotId,uniqueidentifier,NULL
USP_CurrentWaits,SessionIds,nvarchar(max),NULL
USP_CurrentWaits,MinWaitMs,bigint,0
USP_CurrentWaits,WaitTypes,nvarchar(max),NULL
USP_CurrentWaits,WaitTypePattern,nvarchar(4000),NULL
USP_CurrentWaits,WaitGroups,nvarchar(max),NULL
USP_CurrentWaits,WaitGroupPattern,nvarchar(4000),NULL
