TargetId,SuiteId,CommitSha,TestStatus,EvidenceStatus,TestedAtUtc,LimitationCode,EvidenceReference
SQL2022-LINUX,P1_STATISTICS_RUNTIME,f4bf1d4333e7f4a38814dea72a0799ca1d949364,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T12:34:20Z,ACTIONS_SYNTHETIC_P1_STATISTICS_BOUNDED,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29644565475
SQL2025-LINUX,P1_STATISTICS_RUNTIME,f4bf1d4333e7f4a38814dea72a0799ca1d949364,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T12:34:19Z,ACTIONS_SYNTHETIC_P1_STATISTICS_BOUNDED,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29644565446
SQL2019-LINUX,P1_AVAILABILITY_RUNTIME,bdb8f66e20f015e7c563e6d3747144400897b281,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T14:24:51Z,ACTIONS_SYNTHETIC_P1_AVAILABILITY_NO_CLUSTER_MUTATION,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29647983342
SQL2019-LINUX,P1_AGENT_RUNTIME,bdb8f66e20f015e7c563e6d3747144400897b281,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T14:24:51Z,ACTIONS_SYNTHETIC_P1_AGENT_NO_MSDB_MUTATION,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29647983342
SQL2019-LINUX,P1_FINDINGS_RUNTIME,bdb8f66e20f015e7c563e6d3747144400897b281,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T14:24:51Z,ACTIONS_SYNTHETIC_P1_FINDINGS_RESTORED_CONTEXT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29647983342
SQL2022-LINUX,P1_AVAILABILITY_RUNTIME,bdb8f66e20f015e7c563e6d3747144400897b281,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T14:24:51Z,ACTIONS_SYNTHETIC_P1_AVAILABILITY_NO_CLUSTER_MUTATION,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29647983333
SQL2022-LINUX,P1_AGENT_RUNTIME,bdb8f66e20f015e7c563e6d3747144400897b281,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T14:24:51Z,ACTIONS_SYNTHETIC_P1_AGENT_NO_MSDB_MUTATION,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29647983333
SQL2022-LINUX,P1_FINDINGS_RUNTIME,bdb8f66e20f015e7c563e6d3747144400897b281,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T14:24:51Z,ACTIONS_SYNTHETIC_P1_FINDINGS_RESTORED_CONTEXT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29647983333
SQL2025-LINUX,P1_AVAILABILITY_RUNTIME,bdb8f66e20f015e7c563e6d3747144400897b281,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T14:24:51Z,ACTIONS_SYNTHETIC_P1_AVAILABILITY_NO_CLUSTER_MUTATION,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29647983330
SQL2025-LINUX,P1_AGENT_RUNTIME,bdb8f66e20f015e7c563e6d3747144400897b281,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T14:24:51Z,ACTIONS_SYNTHETIC_P1_AGENT_NO_MSDB_MUTATION,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29647983330
